sample_index,utc_time,utc_datetime,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,elapsed_s,elapsed_min,elapsed_h,dt_s,session_id,trial_id,total_flow,valid_for_model,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,trial_n_model_valid,trial_ph_min,trial_ph_max,trial_log10_ratio_min,trial_log10_ratio_max,trial_total_flow_min,trial_total_flow_max,trial_n_total,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,uninformative_flat_ph_trial,valid_for_model_before_flat_trial_filter,acid_flow_in_bounds,acetate_flow_in_bounds,water_flow_in_bounds,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance
967,2026-05-15T16:46:46.877Z,2026-05-15 16:46:46.877000+00:00,15,0,4.342467308044434,8.176307678222656,7.321658611297607,5.028088092803955,334839.07,5580.6511666666665,93.01085277777777,69.985,6,73,20.52605438232422,True,0.8954724919169346,-0.04794775073306864,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.039833801109206805,0.03567007314178497,0.07550387425099178,0.03567007314178497,4.712499626686432
968,2026-05-15T16:47:56.232Z,2026-05-15 16:47:56.232000+00:00,15,1,4.142876625061035,7.734370708465576,4.288270950317383,1.542698860168457,334908.425,5581.807083333333,93.03011805555555,69.355,6,73,13.565340518951416,True,0.554443420409588,-0.2561427659397592,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.057015676810031404,0.03161196686752144,0.08862764367755285,0.03161196686752144,4.504525396657203
969,2026-05-15T16:49:05.824Z,2026-05-15 16:49:05.824000+00:00,15,2,4.256456375,5.253758907318115,4.171286106109619,5.122701644897461,334978.017,5582.96695,93.04944916666666,69.592,6,73,14.547746658325195,True,0.793962223942045,-0.10020016044922872,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.03611390155953508,0.028673073597432562,0.06478697515696764,0.028673073597432562,4.660393703580476
970,2026-05-15T16:50:15.114Z,2026-05-15 16:50:15.114000+00:00,15,3,4.572933197021484,2.891408920288086,5.721688270568848,1.7824033498764038,335047.307,5584.121783333333,93.06869638888888,69.29,6,73,10.395500540733337,True,1.978858206607029,0.2964146763214447,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.027814042324931815,0.05504004591360657,0.08285408823853838,0.05504004591360657,5.056620982466615
971,2026-05-15T16:51:24.387Z,2026-05-15 16:51:24.387000+00:00,15,4,4.1417741775512695,6.537575721740723,3.9703214168548575,7.424096584320068,335116.58,5585.276333333333,93.08793888888889,69.273,6,73,17.93199372291565,True,0.607307905230305,-0.21659106569852193,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.036457606570463076,0.022140992676018538,0.058598599246481614,0.022140992676018538,4.5443089751007735
972,2026-05-15T16:52:33.886Z,2026-05-15 16:52:33.886000+00:00,15,5,4.366726875305176,9.107599258422852,8.976686477661133,2.1234521865844727,335186.079,5586.43465,93.10724416666667,69.499,6,73,20.207737922668457,True,0.9856259836377135,-0.006287855908411398,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.04506986033407633,0.044422025424188355,0.0894918857582647,0.044422025424188355,4.754054135292434
973,2026-05-15T16:53:43.482Z,2026-05-15 16:53:43.482000+00:00,15,6,4.439505577087402,2.407575845718384,3.603735685348511,1.829336404800415,335255.675,5587.5945833333335,93.12657638888889,69.596,6,73,7.84064793586731,True,1.4968316332618845,0.1751729527428304,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.030706337861503084,0.045962217852724904,0.07666855571422798,0.045962217852724904,4.935446680861189
974,2026-05-15T16:54:53.026Z,2026-05-15 16:54:53.026000+00:00,15,7,4.552533149719238,5.5715813636779785,8.967796325683594,9.425886154174805,335325.219,5588.75365,93.14589416666666,69.544,6,73,23.965263843536377,True,1.6095603277277934,0.20670725906343468,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.023248570931885145,0.03741997744832791,0.06066854838021306,0.03741997744832791,4.967034008581846
975,2026-05-15T16:56:02.482Z,2026-05-15 16:56:02.482000+00:00,15,8,4.341364860534668,7.438154220581055,6.747581481933594,1.9757425785064695,335394.675,5589.91125,93.1651875,69.456,6,73,16.161478281021118,True,0.9071580504829174,-0.04231704097433529,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.04602397188700176,0.04175101661249312,0.08777498849949489,0.04175101661249312,4.718062640735477
976,2026-05-15T16:57:12.130Z,2026-05-15 16:57:12.130000+00:00,15,9,4.486371040344238,7.390966892242432,9.420244216918944,6.249266147613525,335464.323,5591.07205,93.18453416666667,69.648,6,73,23.060477256774902,True,1.2745618204306184,0.10536090502361609,10,4.1417741775512695,4.572933197021484,-0.2561427659397592,0.2964146763214447,7.84064793586731,23.965263843536377,10,0.43115901947021484,0.5525574422612038,16.124615907669067,False,True,True,True,True,0.03205036396231154,0.04085017023726768,0.07290053419957923,0.04085017023726768,4.865690368501959
