cycle,target_ph,is_test,steps,mean_abs_error,rmse,max_abs_error,mean_error,tail_mae,tail_mean_error,tail_std_error,early_mean_error,mid_mean_error,final_error,drift_tail_minus_early,tail_ratio_action_std,tail_sum_action_std,tail_mean_sigma,tail_train_updates,mean_reward
287,5.143981456756592,False,200,0.02423483845785685,0.03253210498870245,0.2671896706503949,0.013841558965065733,0.021425041058103896,0.01184577666905181,0.021706023547920113,0.012321085504724204,0.00987650947218734,0.0395925883452541,-0.0004753088356723948,0.024170617046976334,0.012268443299361808,0.01,50,-0.02445117885867717
288,4.899029731750488,False,200,0.020753166129457087,0.02525519838696814,0.0697297979667048,0.006168616482481595,0.009538921812999798,0.0036945977152021397,0.011297778666765984,0.008832248553340494,-0.015197952862199883,0.0030867739691506,-0.005137650838138354,0.012315066714976534,0.014464118607452694,0.01,50,-0.019746741469731436
289,3.777200698852539,False,200,0.056951785114412214,0.061982868139646326,0.1523851018007098,0.056951785114412214,0.054626073561376484,0.054626073561376484,0.020866342071893126,0.05324407766861857,0.05171244389588673,0.0828215266326828,0.0013819958927579132,0.012808373761947999,0.010081561076970297,0.01,50,-0.06132885352426273
290,4.812532901763916,False,200,0.0208560854665686,0.027499307744474705,0.1800316748927404,-0.014286199312300747,0.021566783064758153,-0.011500069896571654,0.022405805735096585,-0.028265161689089414,-0.007113695383264641,-0.047521034328736,0.016765091792517763,0.02334766515934066,0.014401471937791817,0.01,50,-0.019635678903979138
291,4.5918402671813965,False,200,0.017619798302241897,0.022917086569762758,0.0768277802918619,-0.006812088339870023,0.013574858140399357,0.0034034079034145036,0.0168715801376849,-0.016438295420767527,-0.0063117282565736295,0.0336525671578025,0.01984170332418203,0.01708738353257754,0.011532780054886164,0.01,50,-0.015929955080732087
292,5.731537818908691,False,200,0.06437658019247289,0.06682601482598666,0.1209329736807403,-0.06437658019247289,0.06076014295233874,-0.06076014295233874,0.01214497107909473,-0.050114239840242894,-0.08441141206160996,-0.0807155936668539,-0.010645903112095845,0.005061799583321068,0.024573439977744242,0.01,50,-0.06958091789423385
293,3.995914936065674,False,200,0.037359819958398786,0.046262139112803385,0.1254155554436113,0.02578340801945056,0.03871017751341013,0.025342738048712395,0.042596008002183466,0.03842679218455188,0.023614849871313338,0.0464322984252616,-0.013084054135839487,0.035928972710803704,0.013808681028974706,0.01,50,-0.03874286245334342
294,4.632516384124756,False,200,0.014202103990803043,0.018038878370000722,0.0843520612551564,-0.004274718057174929,0.0106761615742488,-0.003286231596273372,0.012548256361782058,0.0009464573809967971,-0.0008892874909945036,-0.0118148375791005,-0.004232688977270169,0.012659223000088841,0.011766920229903352,0.01,50,-0.012107170156897907
295,3.927521228790283,False,200,0.019771945029618997,0.025210887484860073,0.0733429802634648,0.009985983817552743,0.01121904859103158,0.0011116080265139538,0.013617574362125084,0.008206797485649713,0.018641938863982025,0.0076869788665208,-0.007095189459135759,0.013856624580423372,0.01941195517716046,0.01,50,-0.018833780144133564
296,4.47491979598999,False,200,0.016467144610665275,0.02017135441368576,0.0507751397925471,-0.01049373598143906,0.020589902657745327,-0.019971302999570437,0.013397701480379144,0.0010554168286753653,-0.017598437627276992,-0.0392500065045622,-0.0210267198282458,0.013202280981043429,0.009699100572061149,0.01,50,-0.015192365167036861
297,5.014886379241943,False,200,0.02094793779757624,0.026179787808684508,0.1302991094925616,0.019138913986909187,0.018642813743004652,0.015286725132564944,0.01788476964907516,0.029360504453587823,0.013193885096499042,-0.0113867364667124,-0.014073779321022878,0.01944048055832911,0.01257447279378634,0.01,50,-0.01993995333823541
298,5.386301517486572,False,200,0.02311926072454086,0.02767931172356335,0.0581837830409934,0.021442207739887063,0.03071087332062429,0.029412812816201422,0.018814165790271495,0.011277849014348139,0.022655547339041668,0.012973508916751,0.018134963801853282,0.02035334124835635,0.015994950721195094,0.01,50,-0.022236082298992484
299,3.827981948852539,False,200,0.04196277087305418,0.05184522463038894,0.1345732320309043,0.038216337491666856,0.04439786964677319,0.0399721075116895,0.03597368286840121,0.029333769534387252,0.04429169591731856,0.0445689150201835,0.01063833797730225,0.016131247792080146,0.010236704021274976,0.01,50,-0.04410164919129796
300,4.359803676605225,False,200,0.02236484898291361,0.028541733158861386,0.07331264373191,0.006977079092388785,0.016384439854233348,-0.012057995012041493,0.015763088883929875,-0.0027848071076617326,0.01805516729236367,-0.0313000886395364,-0.00927318790437976,0.016012940209294054,0.010526787022518863,0.01,50,-0.02161510816908028
301,4.596202850341797,False,200,0.015747896158005564,0.019522882933545288,0.0477437358611929,-0.009273650689179846,0.015076495803055251,-0.005172794243370976,0.01755241431557157,-0.01869225331559909,-0.0060470403790616875,-0.0080622099705411,0.013519459072228115,0.016968661274631758,0.012987451616792415,0.01,50,-0.014009721833239447
302,4.349720001220703,False,200,0.018349596266076355,0.022489401214976962,0.0587317853873976,-0.00037401242407600886,0.012707599023945106,0.0009618601851198801,0.016927872166370855,-0.00082190007747273,0.004798726853137164,-0.0011045033058891,0.00178376026259261,0.012633103863402804,0.011139724397561166,0.01,50,-0.01622903589936068
303,5.654318332672119,False,200,0.017305791269738982,0.023299555932752607,0.1759082308325519,-0.005706840836585948,0.0203952594741755,-0.014501838583034159,0.018595376044454676,0.012845450874872587,-0.011782354385470794,-0.0209840946664421,-0.027347289457906744,0.010317030072566662,0.041579777418102266,0.01,50,-0.01584716769217499
304,4.487208366394043,False,200,0.01802702359504925,0.022538798369659094,0.0656922310202983,-0.003340222620372866,0.017417449301674496,-0.015142057893679794,0.013096555925514506,0.0031921990118509084,-0.018798117776024616,-0.0258135773416912,-0.018334256905530703,0.011091858475939999,0.010880690505028696,0.01,50,-0.016912207016171927
305,5.010191917419434,False,200,0.017979557136249803,0.02630202988131127,0.1998810921299121,0.01155911021812922,0.02723263360524069,0.027190031135414516,0.01730223032234615,-0.0033125890577588913,0.006358593704721213,0.0051751592208839,0.03050262019317341,0.01869992854204934,0.012164669967370732,0.01,50,-0.016547160496080435
306,4.800310134887695,False,200,0.013341277223401869,0.016674810512311546,0.052422284864428,-0.0032348888453261875,0.016068509622735802,-0.0035546451575560207,0.019820039776497045,0.003799551284292996,-0.0053396037795340945,0.0044785738036869,-0.007354196441849016,0.02042369332971772,0.016759547947067716,0.01,50,-0.010330746075130768
307,4.605271816253662,False,200,0.02201414021324556,0.026709539376092925,0.0710641817176922,-0.015235122708375735,0.026046387829560896,-0.018562278793350956,0.024642441651248088,0.006793586570803519,-0.017537387154617733,-0.0379979528889711,-0.025355865364154476,0.02492125005918336,0.010349763302432974,0.01,50,-0.021355405960121896
308,4.22724199295044,False,200,0.016979799102723934,0.021123729642734193,0.0697507528132979,0.008646062412623277,0.013013200357237624,0.005436921089420755,0.014939424094425315,0.017850385046679577,0.00022513300770450224,0.0045779210031104,-0.012413463957258822,0.014942352590105044,0.009388961922406586,0.01,50,-0.015828194761323043
309,4.580158710479736,False,200,0.015609430836670199,0.01950538472834018,0.0596167883720522,0.0029852551466989408,0.010419537223454168,0.003991901486109578,0.012202750938482965,0.005391433703477296,0.012066586162762561,-0.000195930221972,-0.0013995322173677178,0.012480563470821856,0.014566742489596834,0.01,50,-0.014040630359947187
310,4.807052612304688,False,200,0.013768113789315608,0.01773095202538268,0.0549479300106137,-0.0017577358499136385,0.01309640439314512,-0.005608131484413826,0.014727028526693208,0.006934497960022574,0.003615591977069234,-0.0231455096939559,-0.0125426294444364,0.015178657051723048,0.020431835814862007,0.01,50,-0.011793736051430009
311,5.31904411315918,False,200,0.028200517778767267,0.033477066070909244,0.1387220398068294,0.026428007147494492,0.03153387839215862,0.028602616635041787,0.02368373050332982,0.03185940492483866,0.02466763544039335,0.0682457796932913,-0.0032567882897968706,0.0302515533452571,0.012990995104043586,0.01,50,-0.028723618877529902
312,5.0276780128479,False,200,0.020364043264230264,0.02523368972631558,0.0884313902589699,0.005724422990594755,0.013877554687297346,0.01293487943163527,0.011311132471860273,-0.007988128316799481,-0.0022387406145392423,0.0368583882079871,0.020923007748434752,0.012137272340396233,0.01595644241074367,0.01,50,-0.018732033921385137
313,5.391214847564697,False,200,0.0313478044863841,0.0349656091050671,0.07700300186639,0.03006826281973399,0.026233414570530866,0.026233414570530866,0.012004210159814718,0.03660565996804972,0.03731273798186558,0.0397195674946502,-0.010372245397518857,0.015071824846059673,0.013212077450162328,0.01,50,-0.03228894071232647
314,4.39281177520752,False,200,0.01666127302717771,0.022740864951710425,0.1575930897351769,-0.005057874803985764,0.01155732475063854,-8.379694389214158e-05,0.014825731521502149,0.002597172247577324,-0.0018834845891465039,0.0019102062981533,-0.0026809691914694658,0.014000596631294613,0.011331630797719204,0.01,50,-0.015093504077557501
