candidate_type,v_tube_ml,split,n,intercept,slope,mean_error,mae,rmse,max_abs,correlation
grid,35.5,test,164,4.697677874376362,-0.06926354675639984,0.02838708710918939,0.24069023195854372,0.2957155858279684,0.6910367508648605,-0.07631974488977467
grid,35.5,train,343,4.697677874376362,-0.06926354675639984,-1.0435449071112258e-15,0.24381206907737452,0.3048803993359555,0.7978331233994935,0.067513106410895
grid,36.0,test,164,4.709368545772647,-0.07131179296203219,0.026560416758525256,0.24047252635119998,0.2956024621113916,0.6937929665093714,-0.07359918755011574
grid,36.0,train,341,4.709368545772647,-0.07131179296203219,-1.7971938697744468e-16,0.24324703608864007,0.3043440245757757,0.8007327734942868,0.07014696660515335
grid,36.5,test,163,4.729886174778334,-0.07569500948463687,0.029661610574205535,0.23969325884291334,0.29516634629075317,0.6947940864184918,-0.05820565183456106
grid,36.5,train,339,4.729886174778334,-0.07569500948463687,-2.630475319701846e-15,0.2417740574238277,0.30272836937557107,0.8017114188730168,0.07448920480663036
grid,37.0,test,163,4.725580240910783,-0.07468216188115233,0.02906806691362593,0.23943574424809863,0.2949689465176194,0.69549678324982,-0.05280769146147907
grid,37.0,train,336,4.725580240910783,-0.07468216188115233,-3.949221901880914e-15,0.24319531740438768,0.30393986391056194,0.8029323555272208,0.07323074393977656
grid,37.5,test,163,4.766937748040231,-0.08300191651854807,0.027736194323914647,0.2393215302081948,0.29501622218795254,0.6995691535196986,-0.04660977603462335
grid,37.5,train,335,4.766937748040231,-0.08300191651854807,-1.4369931447088594e-15,0.2424874115523989,0.3033659486898711,0.8069812313431659,0.08159280961938947
grid,38.0,test,161,4.776475603614527,-0.0849775221140675,0.027787157820195318,0.24092821354187224,0.29654561455677536,0.7006212828612197,-0.0426573313395936
grid,38.0,train,335,4.776475603614527,-0.0849775221140675,1.9884591485823697e-15,0.24247566804763337,0.3033134954685558,0.808228955847603,0.08367115953878657
grid,38.5,test,159,4.797743986639621,-0.08955550125367172,0.028822977984159583,0.24388596290179215,0.29846258963412253,0.7016636217216847,-0.035642849631293966
grid,38.5,train,332,4.797743986639621,-0.08955550125367172,-8.453746404374686e-16,0.2422750504727275,0.30294830820007196,0.8095802605020999,0.08820401519148079
grid,39.0,test,159,4.806140697594127,-0.0912318563713839,0.028432654341371745,0.2436888518346578,0.29830061544934855,0.7029829774526419,-0.028394760937149113
grid,39.0,train,331,4.806140697594127,-0.0912318563713839,-1.4489919838008086e-16,0.2426977831835861,0.3033059118381976,0.8110971384831287,0.08963145259891483
grid,39.5,test,157,4.838709014110464,-0.09748921294282831,0.024942741868120812,0.24373672059432694,0.2987243851221691,0.7078376849321328,-0.01846448190917604
grid,39.5,train,330,4.838709014110464,-0.09748921294282831,-2.7587360005837222e-15,0.24078399459508734,0.3004168783993895,0.8163567402763241,0.09629092130460436
grid,40.0,test,157,4.851984863201101,-0.10031668319184774,0.025202736539956708,0.24360324585559912,0.29863519173701464,0.7089141495712248,-0.011374595249141318
grid,40.0,train,329,4.851984863201101,-0.10031668319184774,1.695367925749783e-15,0.24117859373288902,0.3007131992002368,0.8176991121281554,0.098291356699823
grid,40.5,test,157,4.868680387336554,-0.10377767318004326,0.025093793363372356,0.243537403257015,0.298577795476813,0.7105917858464839,-0.006505910040489264
grid,40.5,train,329,4.868680387336554,-0.10377767318004326,1.2904233574974464e-15,0.2411718423200793,0.3006361333752277,0.8196803994983415,0.10084010877188483
grid,41.0,test,155,4.875031735439172,-0.10517480987959577,0.02789328428241538,0.2437886493722283,0.2988006522353436,0.7112346467876609,0.00286299575661885
