trial_id,session_id,split,n_total,n_model_valid,start_time,end_time,max_cumulative_volume_ml,median_theta_transport_s,static_rmse,transport_delay_rmse,transport_dynamic_rmse
52,5,train,10,10,2026-05-15 01:37:59.180000+00:00,2026-05-15 01:48:23.135000+00:00,149.37502705130382,1.8766197682416168,0.03927509244352764,0.03694895450938053,0.03569442348412141
53,5,train,10,10,2026-05-15 01:49:32.354000+00:00,2026-05-15 01:59:56.200000+00:00,162.73221940311615,1.799670274429789,0.06685936839367984,0.06932794217252114,0.069486913811155
54,5,train,10,10,2026-05-15 02:01:05.311000+00:00,2026-05-15 02:11:28.613000+00:00,162.5035692067115,2.1242951076837864,0.03943283598373081,0.03820317394879179,0.03952429195430869
55,5,train,10,10,2026-05-15 02:12:37.991000+00:00,2026-05-15 02:23:01.485000+00:00,163.54534996346862,1.8334869672070124,0.04735206772229232,0.04210788605171544,0.039980880407196905
56,5,train,10,10,2026-05-15 02:24:10.684000+00:00,2026-05-15 02:34:34.458000+00:00,176.08494268608516,1.5769160014804586,0.04509568869025441,0.04822103494602026,0.048604981406953705
57,5,train,10,10,2026-05-15 02:35:43.779000+00:00,2026-05-15 02:46:08.099000+00:00,177.6077500002988,1.6819830387171097,0.03758558896939007,0.03906836556434296,0.039691087496572394
58,5,train,8,8,2026-05-15 02:47:17.102000+00:00,2026-05-15 02:55:21.801000+00:00,120.79739251847148,1.8113827282343347,0.05764275822635447,0.06308716716999961,0.06475148313828621
59,6,train,10,10,2026-05-15 14:04:58.822000+00:00,2026-05-15 14:15:24.262000+00:00,190.74274475423493,1.4831466261219801,0.09313801444188508,0.08019101066706566,0.08001344367855275
60,6,train,10,10,2026-05-15 14:16:33.579000+00:00,2026-05-15 14:26:58.153000+00:00,163.73730164300642,1.7829785894839383,0.041105007102713774,0.04032063512547141,0.03974785522549673
61,6,train,10,10,2026-05-15 14:28:07.559000+00:00,2026-05-15 14:38:31.723000+00:00,166.50184984943533,1.6424751817609748,0.06457379006136593,0.07065648558808485,0.07240403664235975
62,6,train,10,10,2026-05-15 14:39:40.775000+00:00,2026-05-15 14:50:04.940000+00:00,149.06888532842473,2.046697622264116,0.04928487888927847,0.048605885178412835,0.04793793401794173
63,6,train,10,10,2026-05-15 14:51:14.274000+00:00,2026-05-15 15:01:38.148000+00:00,149.38021969528398,1.8745866382190752,0.05165842778746571,0.047718544787327656,0.048156471489446684
64,6,test,10,10,2026-05-15 15:02:47.563000+00:00,2026-05-15 15:13:10.841000+00:00,168.6577509607335,1.6201078594881917,0.05574427128610321,0.06211947435936664,0.06335556364090823
65,6,test,10,10,2026-05-15 15:14:20.080000+00:00,2026-05-15 15:24:45.024000+00:00,182.88858899479303,1.509930618966012,0.06151765410828881,0.06561195323702565,0.06475113550327866
66,6,test,10,10,2026-05-15 15:25:54.435000+00:00,2026-05-15 15:36:19.048000+00:00,177.188350618722,1.659670204778096,0.03199953730025683,0.03584281235890873,0.03771583686499931
67,6,test,10,10,2026-05-15 15:37:28.174000+00:00,2026-05-15 15:47:51.554000+00:00,158.64599567164976,1.9276554417615346,0.05954399443807957,0.05953457195317245,0.05863637984191485
68,6,test,10,10,2026-05-15 15:49:00.656000+00:00,2026-05-15 15:59:24.786000+00:00,153.47838379919784,2.13092224891281,0.059443770501587834,0.05658834197957852,0.055288672017236494
69,6,test,10,10,2026-05-15 16:00:33.952000+00:00,2026-05-15 16:10:57.132000+00:00,180.10821343458332,1.5936806409686346,0.056859522918965684,0.053415378941925606,0.05454890627762973
70,6,test,10,10,2026-05-15 16:12:06.577000+00:00,2026-05-15 16:22:29.128000+00:00,164.5984712049529,1.7091483609708806,0.06074463242946188,0.06251459436612215,0.06330653839564303
71,6,test,10,10,2026-05-15 16:23:38.729000+00:00,2026-05-15 16:34:02.835000+00:00,182.32339885729994,1.4848196432113523,0.04563019743153021,0.04018031786381486,0.041412640317286545
72,6,test,10,10,2026-05-15 16:35:11.957000+00:00,2026-05-15 16:45:36.892000+00:00,187.7583410421722,1.6329545752750882,0.05439290063007663,0.046892997747647484,0.04490795362302947
73,6,test,10,10,2026-05-15 16:46:46.877000+00:00,2026-05-15 16:57:12.130000+00:00,168.06356565157773,1.6491167074002844,0.03674317134383173,0.03696002978771752,0.03728125767770647
74,6,test,10,10,2026-05-15 16:58:21.774000+00:00,2026-05-15 17:08:45.838000+00:00,164.2841255779471,1.603204309495925,0.057293894715458496,0.053126648924523324,0.05269464588130328
75,6,test,10,10,2026-05-15 17:09:55.143000+00:00,2026-05-15 17:20:18.957000+00:00,165.60403329614692,1.7848929196463719,0.033375790340708124,0.025654986130074074,0.027712831540087107
76,6,test,10,10,2026-05-15 17:21:28.614000+00:00,2026-05-15 17:31:52.164000+00:00,207.71262845064902,1.3560476263104118,0.046678582822001165,0.03888823426509955,0.03881063669019726
77,6,test,10,10,2026-05-15 17:33:01.713000+00:00,2026-05-15 17:43:25.826000+00:00,169.97395748601994,1.6035634924691127,0.05331487951383025,0.0567106366772844,0.05753091787543686
78,6,test,10,10,2026-05-15 17:44:35.194000+00:00,2026-05-15 17:54:59.648000+00:00,187.497773519915,1.7612595933523507,0.04572045014779872,0.04189483278635347,0.04184344938256884
79,6,test,10,10,2026-05-15 17:56:08.746000+00:00,2026-05-15 18:06:33.574000+00:00,174.6544265891639,1.6362230370662632,0.03175576783508786,0.03560874851551748,0.03733228351999111
80,6,test,10,10,2026-05-15 18:07:42.888000+00:00,2026-05-15 18:18:08.698000+00:00,186.75363494713184,1.6153483187034383,0.043383300133112215,0.04307430596878919,0.043925734486007444
81,6,test,10,10,2026-05-15 18:19:18.137000+00:00,2026-05-15 18:29:43.014000+00:00,183.22787250312513,1.5373693813642588,0.0711345042818479,0.07708961228191398,0.07665720122482873
82,6,test,10,10,2026-05-15 18:30:52.422000+00:00,2026-05-15 18:41:18.202000+00:00,176.12586226882124,1.6710108267647565,0.05004379293038255,0.0489416182214247,0.04890910694677622
83,6,test,10,10,2026-05-15 18:42:28.060000+00:00,2026-05-15 18:52:53.120000+00:00,159.05656348844903,1.8656182519174083,0.04530410125371349,0.0476107926577901,0.0477112841155266
84,6,test,9,9,2026-05-15 18:54:02.475000+00:00,2026-05-15 19:03:18.401000+00:00,141.84834814684447,1.82778762929616,0.05438431703512429,0.05984175547254109,0.06120936561528267
