_id,utc_time,episode_number,step_number,target_ph,observation.utc_time,observation.biosmb-sensors.P_1,observation.biosmb-sensors.P_2,observation.biosmb-sensors.P_3,observation.biosmb-sensors.P_4,observation.biosmb-sensors.P_5,observation.biosmb-sensors.P_6,observation.biosmb-sensors.P_7,observation.biosmb-sensors.PH_1,observation.biosmb-sensors.PH_2,observation.biosmb-sensors.COND_1,observation.biosmb-sensors.COND_2,observation.biosmb-sensors.COND_3,observation.biosmb-sensors.COND_4,observation.biosmb-sensors.UV_1A,observation.biosmb-sensors.UV_1B,observation.biosmb-sensors.UV_1C,observation.biosmb-sensors.UV_2A,observation.biosmb-sensors.UV_2B,observation.biosmb-sensors.UV_2C,observation.biosmb-sensors.UV_3A,observation.biosmb-sensors.UV_3B,observation.biosmb-sensors.UV_3C,observation.biosmb-sensors.UV_4A,observation.biosmb-sensors.UV_4B,observation.biosmb-sensors.UV_4C,observation.biosmb-flows[0],observation.biosmb-flows[1],observation.biosmb-flows[2],observation.biosmb-flows[3],observation.biosmb-flows[4],observation.biosmb-flows[5],observation.biosmb-flows[6],observation.mfcs-mass.acid-mass-grams,observation.mfcs-mass.sodium-mass-grams,observation.mfcs-mass.water-mass-grams
6a03a6af540d88a0e889ef42,2026-05-12T22:13:53.468Z,4,23,4.8,2026-05-12T22:13:53.468Z,-0.086366177,-0.080222607,0.11441707611083984,-0.034525871,0.000841618,0.16411972045898438,0.079114079,4.0099945068359375,4.594987869262695,0.2356947511434555,-0.112422526,2.0327069759368896,2.7167246341705322,0,0,0,0,0,0,0,0.065742783,0,0,0,0,7.970355033874512,6.6062235832214355,3.653001070022583,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03a73d540d88a0e889efbb,2026-05-12T22:16:15.287Z,4,24,4.8,2026-05-12T22:16:15.287Z,-0.087221384,-0.080222607,0.1135568618774414,-0.031073332,0.000841618,0.16327810287475586,0.078272343,4.071228027,4.593334197998047,0.2356267124414444,-0.112757385,2.0331411361694336,2.7170727252960205,0,0,0,0,0,0,0,0.1215132623910904,0.025464401,0,0,0,3.8334975242614746,8.577958106994629,1.9208967685699463,0,0,0,0,2019.2199999999998,2255.1200000000003,1992.1299999999999
6a03a7cb540d88a0e889f034,2026-05-12T22:18:36.977Z,4,25,4.8,2026-05-12T22:18:36.977Z,-0.085511208,-0.080222607,0.1135568618774414,-0.034525871,0.001262426,0.16411972045898438,0.079534888,4.0406036376953125,4.592782020568848,0.235686794,-0.108096004,2.033500909805298,2.7172789573669434,0,0,0,0,0,0,0,0,0,0,0,0,6.1235527992248535,9.419863701,1.3190112113952637,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03a859540d88a0e889f0ad,2026-05-12T22:20:58.914Z,4,26,4.8,2026-05-12T22:20:58.914Z,-0.086366177,-0.080222607,0.1135568618774414,-0.033662796,0.000841618,0.16411972045898438,0.077851534,4.234527587890625,4.595539093017578,0.23564229905605316,-0.109572947,2.034052848815918,2.7178101539611816,0,0,0,0,0,0,0,0.050108142,0.037787389010190964,0,0,0,3.0525002479553223,5.901025295257568,2.8663370609283447,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03a8e7540d88a0e889f126,2026-05-12T22:23:21.352Z,4,27,4.8,2026-05-12T22:23:21.352Z,-0.086366177,-0.080222607,0.1135568618774414,-0.034525871,0.000841618,0.16327810287475586,0.079114079,4.1120452880859375,4.592782020568848,0.23570823669433594,-0.110045195,2.0344364643096924,2.718174457550049,0,0,0,0,0,0,0.015219514,0.065477356,0.036366600543260574,0,0,0,9.476270676,8.726006507873535,3.7495408058166504,0,0,0,0,2019.2199999999998,2255.1200000000003,1992.1299999999999
6a03a974540d88a0e889f19f,2026-05-12T22:25:42.908Z,4,28,4.8,2026-05-12T22:25:42.908Z,-0.086366177,-0.080222607,0.1135568618774414,-0.033662796,0.000841618,0.1628572940826416,0.079114079,3.969177246,4.601053237915039,0.23563028872013092,-0.110377371,2.034747601,2.718604088,0,0,0,0,0,0,0.031138029,0.12383853644132614,0.014471284113824368,0,0,0,9.895938873291016,7.390047073364258,4.266472816467285,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03aa02540d88a0e889f218,2026-05-12T22:28:04.624Z,4,29,4.8,2026-05-12T22:28:04.624Z,-0.086366177,-0.080222607,0.1135568618774414,-0.033662796,0.000420809,0.16327810287475586,0.079114079,4.1120452880859375,4.599950790405273,0.23565874993801117,-0.110567212,2.0351054668426514,2.7188611030578613,0,0,0,0,0,0,0.060797539,0.099766776,0.040475409,0,0,0,1.4398677349090576,3.707204580307007,2.7950196266174316,0,0,0,0,2019.2199999999998,2255.1200000000003,1992.1299999999999
6a03aa8f540d88a0e889f291,2026-05-12T22:30:26.019Z,5,0,4.6,2026-05-12T22:30:26.019Z,-0.086366177,-0.079360008,0.11441707611083984,-0.033662796,0.000841618,0.16327810287475586,0.078272343,3.918151855,4.604912757873535,0.23572570085525513,-0.110432923,2.0353965759277344,2.7191150188446045,0,0,0,0,0,0,0.004417368,0.080446795,0,0,0,0,1.7228540182113647,8.488994598388672,5.0135698318481445,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03ab1d540d88a0e889f30a,2026-05-12T22:32:47.638Z,5,1,4.6,2026-05-12T22:32:47.638Z,-0.087221384,-0.080222607,0.1135568618774414,-0.034525871,0.000420809,0.16411972045898438,0.077851534,4.234527587890625,4.590577125549316,0.23563070595264435,-0.110426188,2.035825014,2.719693660736084,0,0,0,0,0,0,0,0.088753074,0.069592871,0,0,0,3.5153777599334717,1.6301560401916504,1.575680136680603,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03abaa540d88a0e889f383,2026-05-12T22:35:09.056Z,5,2,4.6,2026-05-12T22:35:09.056Z,-0.086366177,-0.080222607,0.1135568618774414,-0.036252022,0.000841618,0.16327810287475586,0.079114079,3.887542724609375,4.609323501586914,0.23571830987930298,-0.111552119,2.036245822906494,2.720029592514038,0,0,0,0,0,0,0,0.1483982354402542,0.073413402,0,0,0,5.818350315093994,5.144968032836914,7.941873550415039,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
