sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,total_buffer_mol_l,ph_henderson_hasselbalch,ph_equilibrium_charge_balance,prediction_hh_raw,residual_hh_raw,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_hh_effective_pka,residual_hh_effective_pka,prediction_hh_affine,residual_hh_affine,prediction_equilibrium_affine,residual_equilibrium_affine
811,2026-05-15T02:38:02.359Z,2026-05-15 02:38:02.359000+00:00,4731.9092,78.86515333333334,69.207,5,57,train,23,2,3.836322784423828,8.662976264953613,2.2236032485961914,8.168315887451172,19.054895401000977,0.4286728274048715,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.2566789034839977,-0.5906098246553769,0.057132717259512855,4.169390175344623,4.1725270910663035,4.169390175344623,-0.33306739092079507,4.1725270910663035,-0.33620430664247536,3.829484834176919,0.006837950246909141,3.8271796404101885,0.009143144013639581,3.9561005648114187,-0.11977778038759057,3.9568209308759954,-0.12049814645216728
812,2026-05-15T02:39:11.724Z,2026-05-15 02:39:11.724000+00:00,4733.065283333333,78.8844213888889,69.365,5,57,train,23,3,4.606015205383301,2.8074965476989746,6.457064628601074,8.275205612182617,17.539766788482666,0.47179678680884507,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,2.299936800952894,0.36171590237649776,0.0528203213191155,5.121715902376497,5.122009832008773,5.121715902376497,-0.5157006969931963,5.122009832008773,-0.5159946266254725,4.778967575119389,-0.1729523697360884,4.779505367442063,-0.1734901620587621,4.70758937511178,-0.10157416972847955,4.707779226656221,-0.1017640212729205
813,2026-05-15T02:40:20.992Z,2026-05-15 02:40:20.992000+00:00,4734.21975,78.90366250000001,69.268,5,57,train,23,4,4.298358917236328,5.530537128448486,4.976013184,7.999756813049316,18.506307125497802,0.43227191458566755,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.8997341611547864,-0.04588578989163555,0.05677280854143325,4.714114210108364,4.714706019887848,4.714114210108364,-0.41575529287203583,4.714706019887848,-0.4163471026515202,4.371663762998464,-0.07330484576213614,4.37190367517393,-0.07354475793760162,4.385947207831823,-0.08758829059549456,4.385637324096192,-0.08727840685986354
814,2026-05-15T02:41:30.449Z,2026-05-15 02:41:30.449000+00:00,4735.377366666667,78.9229561111111,69.457,5,57,train,23,5,4.374445915222168,6.141618251800537,5.901434898376465,3.836759567260742,15.879812717437744,0.24161239402071583,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.9608924971275026,-0.017325197675778427,0.07583876059792843,4.742674802324221,4.743088821067933,4.742674802324221,-0.36822888710205337,4.743088821067933,-0.368642905845765,4.400046564178549,-0.025600648956380923,4.400464267389787,-0.026018352167619163,4.408484628439646,-0.034038713217477756,4.4080856521010885,-0.03363973687892052
815,2026-05-15T02:42:39.920Z,2026-05-15 02:42:39.920000+00:00,4736.535216666667,78.94225361111111,69.471,5,57,train,23,6,4.513387680053711,4.3235578536987305,6.275303840637207,2.042050361633301,12.640912055969238,0.1615429608711669,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,1.451421272244291,0.16179348387616485,0.08384570391288332,4.921793483876165,4.9220501006713215,4.921793483876165,-0.40840580382245406,4.9220501006713215,-0.4086624206176106,4.5790078437819375,-0.06562016372822654,4.579582948941731,-0.06619526888801985,4.549828793656695,-0.036441113602983854,4.54962846456781,-0.03624078451409929
816,2026-05-15T02:43:49.165Z,2026-05-15 02:43:49.165000+00:00,4737.6893,78.96148833333334,69.245,5,57,train,23,7,4.071201324462891,6.164487838745117,2.9844560623168945,6.431009769439697,15.579953670501709,0.4127746401207754,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.48413690486319944,-0.31503181063002333,0.05872253598792246,4.444968189369977,4.446172047875601,4.444968189369977,-0.3737668649070862,4.446172047875601,-0.3749707234127104,4.103129790986217,-0.03192846652332637,4.102757654435543,-0.03155632997265201,4.173561658244546,-0.10236033378165565,4.173250299787309,-0.10204897532441848
817,2026-05-15T02:44:58.557Z,2026-05-15 02:44:58.557000+00:00,4738.845833333334,78.9807638888889,69.392,5,57,train,23,8,4.304424285888672,8.493165969848633,6.94152832,7.845483303070068,23.2801775929187,0.33700272567750883,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.8173075087244189,-0.08761451113552288,0.06629972743224913,4.672385488864477,4.672947508935675,4.672385488864477,-0.36796120297580526,4.672947508935675,-0.3685232230470028,4.329905252046291,-0.025480966157618745,4.330174953930043,-0.02575066804137105,4.353018697981879,-0.04859441209320714,4.352609972606014,-0.0481856867173418
818,2026-05-15T02:46:08.099Z,2026-05-15 02:46:08.099000+00:00,4740.004866666667,79.00008111111111,69.542,5,57,train,23,9,3.811511993408203,5.5938873291015625,1.4550745487213137,2.823066234588623,9.872028112411499,0.28596618672908297,True,True,False,0.7945032119750977,0.9523257270318747,13.408149480507202,0.2601186729577934,-0.5848284702899182,0.0714033813270917,4.175171529710082,4.177633934212852,4.175171529710082,-0.36365953630187864,4.177633934212852,-0.366121940804649,3.8345916773234676,-0.023079683915264493,3.8329609947756476,-0.02144900136744443,3.960662683622977,-0.1491506902147739,3.9608599997929748,-0.14934800638477164
819,2026-05-15T02:47:17.102Z,2026-05-15 02:47:17.102000+00:00,4741.154916666666,79.01924861111111,69.003,5,58,train,24,0,4.236056327819824,7.436508655548096,5.615385532,1.1237330436706543,14.175627231218751,0.0792721920054356,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,0.7551104681106738,-0.12198950905764154,0.09207278079945644,4.638010490942358,4.638452834387274,4.638010490942358,-0.40195416312253407,4.638452834387274,-0.40239650656744974,4.29541057749789,-0.059354249678065685,4.295799956007924,-0.05974362818809986,4.325893077451724,-0.08983674963189969,4.325327684160572,-0.08927135634074812
820,2026-05-15T02:48:26.367Z,2026-05-15 02:48:26.367000+00:00,4742.309333333334,79.03848888888889,69.265,5,58,train,24,1,4.449981689453125,1.325212001800537,2.628691434860229,3.255624532699585,7.209527969360352,0.45157249497270935,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,1.9836006852403105,0.29745424964732103,0.05484275050272906,5.0574542496473205,5.057765365345656,5.0574542496473205,-0.6074725601941955,5.057765365345656,-0.6077836758925308,4.714723108456272,-0.26474141900314674,4.715243714712886,-0.2652620252597613,4.656879926037149,-0.20689823658402418,4.656967439228937,-0.20698574977581163
