sample_index,utc_time,utc_datetime,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,elapsed_s,elapsed_min,elapsed_h,dt_s,session_id,trial_id,total_flow,valid_for_model,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,trial_n_model_valid,trial_ph_min,trial_ph_max,trial_log10_ratio_min,trial_log10_ratio_max,trial_total_flow_min,trial_total_flow_max,trial_n_total,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,uninformative_flat_ph_trial,valid_for_model_before_flat_trial_filter,acid_flow_in_bounds,acetate_flow_in_bounds,water_flow_in_bounds
814,2026-05-15T02:41:30.449Z,2026-05-15 02:41:30.449000+00:00,23,5,4.374445915222168,6.141618251800537,5.901434898376465,3.836759567260742,284122.642,4735.377366666667,78.9229561111111,69.457,5,57,15.879812717437744,True,0.9608924971275026,-0.017325197675778378,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
815,2026-05-15T02:42:39.920Z,2026-05-15 02:42:39.920000+00:00,23,6,4.513387680053711,4.3235578536987305,6.275303840637207,2.042050361633301,284192.113,4736.535216666667,78.94225361111111,69.471,5,57,12.640912055969238,True,1.451421272244291,0.16179348387616485,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
816,2026-05-15T02:43:49.165Z,2026-05-15 02:43:49.165000+00:00,23,7,4.071201324462891,6.164487838745117,2.9844560623168945,6.431009769439697,284261.358,4737.6893,78.96148833333334,69.245,5,57,15.579953670501709,True,0.48413690486319944,-0.31503181063002333,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
817,2026-05-15T02:44:58.557Z,2026-05-15 02:44:58.557000+00:00,23,8,4.304424285888672,8.493165969848633,6.94152832,7.845483303070068,284330.75,4738.845833333334,78.9807638888889,69.392,5,57,23.2801775929187,True,0.8173075087244189,-0.08761451113552293,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
818,2026-05-15T02:46:08.099Z,2026-05-15 02:46:08.099000+00:00,23,9,3.811511993408203,5.5938873291015625,1.4550745487213137,2.823066234588623,284400.292,4740.004866666667,79.00008111111111,69.542,5,57,9.872028112411499,True,0.2601186729577934,-0.5848284702899182,10,3.811511993408203,4.606015205383301,-0.5906098246553769,0.36171590237649776,9.872028112411499,23.2801775929187,10,0.7945032119750977,0.9523257270318747,13.408149480507202,False,True,True,True,True
819,2026-05-15T02:47:17.102Z,2026-05-15 02:47:17.102000+00:00,24,0,4.236056327819824,7.436508655548096,5.615385532,1.1237330436706543,284469.295,4741.154916666666,79.01924861111111,69.003,5,58,14.175627231218751,True,0.7551104681106738,-0.12198950905764147,8,3.5716724395751958,4.581203460693359,-0.8915732675826645,0.2974542496473211,7.209527969360352,22.974154949188232,8,1.0095310211181636,1.1890275172299856,15.76462697982788,False,True,True,True,True
820,2026-05-15T02:48:26.367Z,2026-05-15 02:48:26.367000+00:00,24,1,4.449981689453125,1.325212001800537,2.628691434860229,3.255624532699585,284538.56,4742.309333333334,79.03848888888889,69.265,5,58,7.209527969360352,True,1.9836006852403105,0.2974542496473211,8,3.5716724395751958,4.581203460693359,-0.8915732675826645,0.2974542496473211,7.209527969360352,22.974154949188232,8,1.0095310211181636,1.1890275172299856,15.76462697982788,False,True,True,True,True
821,2026-05-15T02:49:35.624Z,2026-05-15 02:49:35.624000+00:00,24,2,4.208487510681152,5.642521858215332,3.903379201889038,3.199735164642334,284607.817,4743.463616666666,79.05772694444444,69.257,5,58,12.745636224746704,True,0.6917791902225141,-0.16003250636829278,8,3.5716724395751958,4.581203460693359,-0.8915732675826645,0.2974542496473211,7.209527969360352,22.974154949188232,8,1.0095310211181636,1.1890275172299856,15.76462697982788,False,True,True,True,True
822,2026-05-15T02:50:44.822Z,2026-05-15 02:50:44.822000+00:00,24,3,3.5716724395751958,8.242074012756348,1.0579453706741333,3.234221935272217,284677.015,4744.616916666667,79.07694861111112,69.198,5,58,12.534241318702698,True,0.12835912041516975,-0.8915732675826645,8,3.5716724395751958,4.581203460693359,-0.8915732675826645,0.2974542496473211,7.209527969360352,22.974154949188232,8,1.0095310211181636,1.1890275172299856,15.76462697982788,False,True,True,True,True
823,2026-05-15T02:51:53.934Z,2026-05-15 02:51:53.934000+00:00,24,4,4.547571182250977,5.934800624847412,9.499221801757812,2.5443897247314453,284746.127,4745.768783333333,79.09614638888888,69.112,5,58,17.97841215133667,True,1.600596616841201,0.20428189459670598,8,3.5716724395751958,4.581203460693359,-0.8915732675826645,0.2974542496473211,7.209527969360352,22.974154949188232,8,1.0095310211181636,1.1890275172299856,15.76462697982788,False,True,True,True,True
