sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,buffer_flow_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_equilibrium_affine,residual_equilibrium_affine
864,2026-05-15T14:47:46.364Z,2026-05-15 14:47:46.364000+00:00,5461.642616666666,91.02737694444444,69.649,6,62,test,4,7,4.7251081466674805,2.728194475,7.657481670379639,7.325005054473877,17.710681199853518,0.4135925079230979,0.586407492076902,True,True,False,2.806794655054654,0.44821064083580026,0.015404232305997157,0.04323651690169304,0.0586407492076902,0.04323651690169304,5.208447226424125,5.208447226424125,-0.4833390797566448,4.865404969534741,-0.14029682286726075,4.776143690382444,-0.05103554371496344
865,2026-05-15T14:48:55.539Z,2026-05-15 14:48:55.539000+00:00,5462.795533333334,91.04659222222223,69.175,6,62,test,4,8,4.269688606262207,7.048504829406738,5.8176984786987305,6.527527332305908,19.393730640411377,0.33657925096186897,0.6634207490381311,True,True,False,0.8253805054409528,-0.08334579288458266,0.036344244230759444,0.029997830673053665,0.06634207490381311,0.029997830673053665,4.677209851282691,4.677209851282691,-0.4075212450204839,4.334167594393307,-0.06447898813109987,4.355981114815266,-0.08629250855305859
866,2026-05-15T14:50:04.940Z,2026-05-15 14:50:04.940000+00:00,5463.952216666667,91.06587027777778,69.401,6,62,test,4,9,4.040876388549805,2.627399682998657,1.404094099998474,2.302107810974121,6.3336015939712516,0.3634753112929336,0.6365246887070664,True,True,False,0.5344044566512158,-0.27212992873056413,0.041483501038328534,0.02216896783237811,0.06365246887070664,0.02216896783237811,4.488845019954363,4.488845019954363,-0.44796863140455834,4.145802763064979,-0.10492637451517428,4.20700091052125,-0.16612452197144556
867,2026-05-15T14:51:14.274Z,2026-05-15 14:51:14.274000+00:00,5465.107783333334,91.08512972222223,69.334,6,63,test,5,0,4.1417741775512695,4.202544689178467,2.8861937522888184,7.846616744995117,14.935355186462402,0.5253719544686417,0.4746280455313583,True,True,False,0.6867728877983746,-0.16318685811213096,0.028138230639387186,0.019324573913748644,0.047462804553135826,0.019324573913748644,4.597770039478445,4.597770039478445,-0.45599586192717556,4.254727782589061,-0.1129536050377915,4.293151130533084,-0.1513769529818143
868,2026-05-15T14:52:23.531Z,2026-05-15 14:52:23.531000+00:00,5466.262066666666,91.10436777777777,69.257,6,63,test,5,1,4.682102203369141,1.828486084938049,5.523552894592285,7.372217178344727,14.724256157875061,0.500685202654655,0.499314797345345,True,True,False,3.0208339784983536,0.4801268576124619,0.012418189858508465,0.037513289876026035,0.049931479734534504,0.037513289876026035,5.240394439472596,5.240394439472596,-0.5582922361034557,4.897352182583212,-0.21524997921407163,4.801411158269215,-0.11930895490007476
869,2026-05-15T14:53:32.711Z,2026-05-15 14:53:32.711000+00:00,5467.4150666666665,91.12358444444445,69.18,6,63,test,5,2,4.6920270919799805,3.446929931640625,7.842312812805176,8.573019027709961,19.86226177215576,0.43162350421381457,0.5683764957861854,True,True,False,2.275158755278931,0.35701170610789706,0.01735416626354588,0.03948348331507267,0.056837649578618546,0.03948348331507267,5.117286661692677,5.117286661692677,-0.4252595697126962,4.774244404803293,-0.08221731282331213,4.704043609589886,-0.012016517609905186
870,2026-05-15T14:54:42.248Z,2026-05-15 14:54:42.248000+00:00,5468.5740166666665,91.14290027777777,69.537,6,63,test,5,3,4.62035083770752,3.567058563232422,7.129104137420654,4.280459403991699,14.976622104644775,0.2858094017518262,0.7141905982481738,True,True,False,1.9985946434701518,0.3007247191028037,0.023817510639639845,0.04760154918517754,0.07141905982481739,0.04760154918517754,5.060962458488607,5.060962458488607,-0.4406116207810866,4.717920201599223,-0.09756936389170257,4.659496061935336,-0.03914522422781541
871,2026-05-15T14:55:51.523Z,2026-05-15 14:55:51.523000+00:00,5469.7286,91.16214333333333,69.275,6,63,test,5,4,4.006140709,3.8521130084991455,1.8646669387817385,8.916324615478516,14.6331045627594,0.6093255588544187,0.39067444114558125,True,True,False,0.48406340485536464,-0.31509774873717616,0.026324646229226038,0.01274279788533209,0.03906744411455813,0.01274279788533209,4.446709199841267,4.446709199841267,-0.44056849084126704,4.103666942951883,-0.09752623395188298,4.173675140289741,-0.16753443128974066
872,2026-05-15T14:57:00.782Z,2026-05-15 14:57:00.782000+00:00,5470.8829166666665,91.18138194444444,69.259,6,63,test,5,5,4.410284042358398,1.7270288467407229,2.7997612953186035,1.2347458600997925,5.761536002159119,0.2143084517109804,0.7856915482890197,True,True,False,1.6211433298305113,0.2098214137397367,0.02997514631677254,0.04859400851212942,0.07856915482890196,0.04859400851212942,4.970072377980584,4.970072377980584,-0.5597883356221853,4.6270301210912,-0.21674607873280127,4.587609910646391,-0.17732586828799235
873,2026-05-15T14:58:10.081Z,2026-05-15 14:58:10.081000+00:00,5472.037899999999,91.20063166666665,69.299,6,63,test,5,6,4.8668060302734375,1.983072519302368,9.066776275634766,6.500990867614746,17.55083966255188,0.3704091082027187,0.6295908917972813,True,True,False,4.572085078776846,0.6601143032848206,0.011299017924103299,0.05166007125562483,0.06295908917972813,0.05166007125562483,5.420292176853769,5.420292176853769,-0.5534861465803314,5.077249919964385,-0.2104438896909473,4.943694627418308,-0.07688859714487073
