acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
1.0,4.0,6.0,11.0,4.0,0.6020599913279624,0.5454545454545454,0.45454545454545453,0.009090909090909092,0.03636363636363637,0.04545454545454546,0.03636363636363637,5.362319179493863,4.89784302694008
1.0,4.0,7.0,12.0,4.0,0.6020599913279624,0.5833333333333334,0.4166666666666667,0.008333333333333333,0.03333333333333333,0.041666666666666664,0.03333333333333333,5.362342731305797,4.89786165437562
1.0,4.0,8.0,13.0,4.0,0.6020599913279624,0.6153846153846154,0.38461538461538464,0.007692307692307693,0.03076923076923077,0.038461538461538464,0.03076923076923077,5.36236628132763,4.897880280395345
1.0,4.0,9.0,14.0,4.0,0.6020599913279624,0.6428571428571429,0.35714285714285715,0.0071428571428571435,0.028571428571428574,0.03571428571428572,0.028571428571428574,5.3623898295596835,4.89789890499951
1.0,4.0,10.0,15.0,4.0,0.6020599913279624,0.6666666666666666,0.3333333333333333,0.006666666666666667,0.02666666666666667,0.03333333333333333,0.02666666666666667,5.362413376002277,4.897917528188367
1.0,5.0,1.0,7.0,5.0,0.6989700043360189,0.14285714285714285,0.8571428571428571,0.014285714285714287,0.07142857142857142,0.08571428571428572,0.07142857142857142,5.459096668084264,4.974385606144415
1.0,5.0,2.0,8.0,5.0,0.6989700043360189,0.25,0.75,0.0125,0.0625,0.075,0.0625,5.459114758993307,4.974399914480563
1.0,5.0,3.0,9.0,5.0,0.6989700043360189,0.3333333333333333,0.6666666666666666,0.011111111111111112,0.05555555555555555,0.06666666666666667,0.05555555555555555,5.459132848884615,4.974414222011771
1.0,5.0,4.0,10.0,5.0,0.6989700043360189,0.4,0.6,0.01,0.05,0.060000000000000005,0.05,5.459150937755152,4.974428528735638
1.0,5.0,5.0,11.0,5.0,0.6989700043360189,0.45454545454545453,0.5454545454545454,0.009090909090909092,0.045454545454545456,0.05454545454545455,0.045454545454545456,5.459169025604007,4.974442834651443
1.0,5.0,6.0,12.0,5.0,0.6989700043360189,0.5,0.5,0.008333333333333333,0.041666666666666664,0.049999999999999996,0.041666666666666664,5.459187112431413,4.974457139759371
1.0,5.0,7.0,13.0,5.0,0.6989700043360189,0.5384615384615384,0.46153846153846156,0.007692307692307693,0.038461538461538464,0.046153846153846156,0.038461538461538464,5.459205198238182,4.974471444060064
