sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,valid_for_model,uninformative_flat_ph_trial,total_buffer_mol_l,ph_equilibrium_charge_balance,cumulative_transport_volume_ml,transport_delayed_volume_coordinate_ml,theta_transport_s,ph_equilibrium_transport_delayed,prediction_equilibrium_baseline,residual_equilibrium_baseline,prediction_static_calibrated,residual_static_calibrated,prediction_transport_delay_calibrated,residual_transport_delay_calibrated,prediction_transport_delay_dynamic,residual_transport_delay_dynamic
199,2026-05-12T21:05:20.846Z,2026-05-12 21:05:20.846000+00:00,1519.2173166666666,25.32028861111111,141.787,2,7,train,3,24,4.573485374450684,9.455929756,5.500927448272705,1.6760663986206057,16.63292360289331,True,False,0.08992320028254652,4.525351141651764,850.2237191450381,849.2114236606886,3.651656829013539,4.5295778521287655,4.525351141651764,0.04813423279891982,4.454913788942136,0.11857158550854763,4.452301890203229,0.12118348424745484,4.45230189020323,0.12118348424745395
200,2026-05-12T21:07:43.066Z,2026-05-12 21:07:43.066000+00:00,1521.5876500000002,25.35979416666667,142.22,2,7,train,3,25,4.582306861877441,1.846617579460144,8.586780548095703,4.173785209655762,14.607183337211609,True,False,0.07142648850704093,5.427609245619403,889.6492923917629,888.6369969074134,4.15807261802741,5.404442764344714,5.427609245619403,-0.845302383741962,5.143231671368872,-0.5609248094914303,5.1340957970391,-0.5517889351616585,5.134095797039095,-0.5517889351616532
201,2026-05-12T21:10:04.344Z,2026-05-12 21:10:04.344000+00:00,1523.9422833333333,25.399038055555554,141.278,2,7,train,3,26,4.5861663818359375,9.369320869,9.640662193,6.396867752075195,25.406850814075195,True,False,0.07482227215451913,4.772790584189565,924.0438531836726,923.0315576993231,2.390604388770513,4.792063107483106,4.772790584189565,-0.1866242023536273,4.643681273952811,-0.057514892116873106,4.656860154268885,-0.07069377243294728,4.656860154268889,-0.07069377243295172
202,2026-05-12T21:12:26.482Z,2026-05-12 21:12:26.482000+00:00,1526.31125,25.43852083333333,142.138,2,7,train,3,27,4.582306861877441,6.637747764587402,9.825267791748049,9.773897171020508,26.236912727355957,True,False,0.06274753332228096,4.930661077951837,984.2318358671896,983.2195403828401,2.3149724089922192,4.928005870370153,4.930661077951837,-0.3483542160743953,4.7641180796586955,-0.1818112177812541,4.7628021644245555,-0.1804953025471141,4.762802164424555,-0.1804953025471132
203,2026-05-12T21:14:49.121Z,2026-05-12 21:14:49.121000+00:00,1528.6885666666667,25.47814277777778,142.639,2,7,train,3,28,4.585063934326172,7.704174518585205,9.803174018859863,7.864185810089111,25.37153434753418,True,False,0.06900390137085494,4.864989161009946,1046.6052857758118,1045.5929902914625,2.3939320432494395,4.866054989260046,4.864989161009946,-0.2799252266837744,4.714018053285346,-0.1289541189591743,4.714523015639173,-0.12945908131300143,4.714523015639173,-0.12945908131300143
204,2026-05-12T21:17:10.855Z,2026-05-12 21:17:10.855000+00:00,1531.0508,25.517513333333333,141.734,2,7,train,3,29,4.585615158081055,3.1202094554901123,9.280196189880373,8.964114189,21.364519834370483,True,False,0.05804205168899304,5.233605413935608,1106.5387699293685,1105.5264744450192,2.842925070717158,5.227379368953168,5.233605413935608,-0.6479902558545536,4.995229335873027,-0.4096141777919726,4.996107928951154,-0.41049277087009894,4.996107928951151,-0.4104927708700963
205,2026-05-12T21:19:32.410Z,2026-05-12 21:19:32.410000+00:00,1533.41005,25.556834166666665,141.555,2,8,train,4,0,4.597192764282227,9.673283576965332,1.9706493616104128,8.322223663330078,19.966156601905823,False,True,,,0.0,-1.0122954843494305,3.042034091587174,,,,,,,,,
206,2026-05-12T21:21:54.384Z,2026-05-12 21:21:54.384000+00:00,1535.7762833333334,25.59627138888889,141.974,2,8,train,4,1,4.581754684448242,2.295010805130005,4.386499404907227,5.327077388763428,12.00858759880066,False,True,,,47.24458528998295,46.23228980563352,5.057857850579524,,,,,,,,,
207,2026-05-12T21:24:16.073Z,2026-05-12 21:24:16.073000+00:00,1538.1377666666667,25.635629444444444,141.689,2,8,train,4,2,4.571830749511719,2.172534704208374,4.306606769561768,8.992809295654297,15.471950769424438,False,True,,,75.60266476142405,74.59036927707461,3.925667161570557,,,,,,,,,
208,2026-05-12T21:26:37.098Z,2026-05-12 21:26:37.098000+00:00,1540.4881833333334,25.674803055555557,141.025,2,8,train,4,3,4.581203460693359,9.28447723388672,6.559344291687012,2.6919069290161133,18.535728454589844,False,True,,,111.96819571572541,110.95590023137598,3.276792126609185,,,,,,,,,
