trial_id,session_id,split,n_total,n_model_valid,start_time,end_time,max_cumulative_volume_ml,median_theta_transport_s,static_rmse,transport_delay_rmse,transport_dynamic_rmse
74,6,test,10,10,2026-05-15 16:58:21.774000+00:00,2026-05-15 17:08:45.838000+00:00,164.2841255779471,0.0,0.11395213340108257,0.11395213340108257,0.11395213340108257
75,6,test,10,10,2026-05-15 17:09:55.143000+00:00,2026-05-15 17:20:18.957000+00:00,165.60403329614692,0.0,0.08044817391601514,0.08044817391601514,0.08044817391601514
76,6,test,10,10,2026-05-15 17:21:28.614000+00:00,2026-05-15 17:31:52.164000+00:00,207.71262845064902,0.0,0.055068787575327884,0.055068787575327884,0.055068787575327884
77,6,test,10,10,2026-05-15 17:33:01.713000+00:00,2026-05-15 17:43:25.826000+00:00,169.97395748601994,0.0,0.10824387037223045,0.10824387037223045,0.10824387037223045
78,6,test,10,10,2026-05-15 17:44:35.194000+00:00,2026-05-15 17:54:59.648000+00:00,187.497773519915,0.0,0.08137735928295374,0.08137735928295374,0.08137735928295374
79,6,test,10,10,2026-05-15 17:56:08.746000+00:00,2026-05-15 18:06:33.574000+00:00,174.6544265891639,0.0,0.08643583977315274,0.08643583977315274,0.08643583977315274
80,6,test,10,10,2026-05-15 18:07:42.888000+00:00,2026-05-15 18:18:08.698000+00:00,186.75363494713184,0.0,0.07843469879250305,0.07843469879250305,0.07843469879250305
81,6,test,10,10,2026-05-15 18:19:18.137000+00:00,2026-05-15 18:29:43.014000+00:00,183.22787250312513,0.0,0.1206012992533916,0.1206012992533916,0.1206012992533916
82,6,test,10,10,2026-05-15 18:30:52.422000+00:00,2026-05-15 18:41:18.202000+00:00,176.12586226882124,0.0,0.08369639499902382,0.08369639499902382,0.08369639499902382
83,6,test,10,10,2026-05-15 18:42:28.060000+00:00,2026-05-15 18:52:53.120000+00:00,159.05656348844903,0.0,0.10652565838733347,0.10652565838733347,0.10652565838733347
84,6,test,9,9,2026-05-15 18:54:02.475000+00:00,2026-05-15 19:03:18.401000+00:00,141.84834814684447,0.0,0.09567131008323868,0.09567131008323868,0.09567131008323868
