sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,valid_for_model,uninformative_flat_ph_trial,total_buffer_mol_l,ph_equilibrium_charge_balance,cumulative_transport_volume_ml,transport_delayed_volume_coordinate_ml,theta_transport_s,ph_equilibrium_transport_delayed,prediction_equilibrium_baseline,residual_equilibrium_baseline,prediction_static_calibrated,residual_static_calibrated,prediction_transport_delay_calibrated,residual_transport_delay_calibrated,prediction_transport_delay_dynamic,residual_transport_delay_dynamic
988,2026-05-15T17:11:04.560Z,2026-05-15 17:11:04.560000+00:00,5604.945883333334,93.41576472222224,69.417,6,75,test,17,1,4.6275177001953125,4.787857055664063,9.087913513183594,9.792268753051758,23.668039321899414,True,False,0.05862661617267457,5.038622905112926,15.883127124649286,15.883127124649286,0.0,5.038622905112926,5.038622905112926,-0.4111052049176136,4.641827417516543,-0.014309717321230764,4.641827417516543,-0.014309717321230764,4.641827417516543,-0.014309717321230764
989,2026-05-15T17:12:13.845Z,2026-05-15 17:12:13.845000+00:00,5606.1006333333335,93.43501055555556,69.285,6,75,test,17,2,4.387678146362305,4.091512680053711,4.769117355,2.949628591537476,11.810258626591185,True,False,0.07502486029479247,4.8269010574174915,43.21379553161263,43.21379553161263,0.0,4.8269010574174915,4.8269010574174915,-0.43922291105518685,4.474373844040333,-0.08669569767802798,4.474373844040333,-0.08669569767802798,4.474373844040333,-0.08669569767802798
990,2026-05-15T17:13:23.168Z,2026-05-15 17:13:23.168000+00:00,5607.256016666666,93.45426694444444,69.323,6,75,test,17,3,4.099870681762695,6.376429080963135,3.421243190765381,5.392129421234131,15.189801692962646,True,False,0.06450164702458049,4.4905635752036535,56.85917151113231,56.85917151113231,0.0,4.4905635752036535,4.4905635752036535,-0.39069289344095814,4.208360138304506,-0.10848945654181108,4.208360138304506,-0.10848945654181108,4.208360138304506,-0.10848945654181108
991,2026-05-15T17:14:32.279Z,2026-05-15 17:14:32.279000+00:00,5608.407866666666,93.47346444444445,69.111,6,75,test,17,4,4.669971466064453,3.0445187091827397,6.933326244354248,1.824148178100586,11.801993131637573,True,False,0.0845437278453366,5.117607798269981,74.35554459117134,74.35554459117134,0.0,5.117607798269981,5.117607798269981,-0.4476363322055281,4.704297600701473,-0.034326134637019834,4.704297600701473,-0.034326134637019834,4.704297600701473,-0.034326134637019834
992,2026-05-15T17:15:41.716Z,2026-05-15 17:15:41.716000+00:00,5609.565149999999,93.4927525,69.437,6,75,test,17,5,3.9697513580322266,6.598465919494629,2.481750488,7.181560516357422,16.26177692385205,True,False,0.05583778728495637,4.337115344677351,88.01379454252998,88.01379454252998,0.0,4.337115344677351,4.337115344677351,-0.3673639866451248,4.086995929438381,-0.11724457140615474,4.086995929438381,-0.11724457140615474,4.086995929438381,-0.11724457140615474
993,2026-05-15T17:16:50.905Z,2026-05-15 17:16:50.905000+00:00,5610.7182999999995,93.51197166666665,69.189,6,75,test,17,6,4.610425949,4.122329711914063,9.148535728,6.041935920715332,19.312801360629397,True,False,0.06871538308765358,5.10643985546481,106.76606260226997,106.76606260226997,0.0,5.10643985546481,5.10643985546481,-0.49601390646481036,4.695464728933822,-0.08503877993382236,4.695464728933822,-0.08503877993382236,4.695464728933822,-0.08503877993382236
994,2026-05-15T17:18:00.320Z,2026-05-15 17:18:00.320000+00:00,5611.875216666666,93.53125361111111,69.415,6,75,test,17,7,4.813876152038574,2.463056802749634,8.913812637329102,3.569662809371948,14.946532249450684,True,False,0.07611711700215185,5.318750477414775,129.1093643764048,129.1093643764048,0.0,5.318750477414775,5.318750477414775,-0.5048743253762007,4.863383971654682,-0.04950781961610762,4.863383971654682,-0.04950781961610762,4.863383971654682,-0.04950781961610762
995,2026-05-15T17:19:09.742Z,2026-05-15 17:19:09.742000+00:00,5613.03225,93.5505375,69.422,6,75,test,17,8,4.4224138259887695,3.9235527515411377,4.836359024047852,7.884774684906006,16.644686460494995,True,False,0.05262887826923043,4.8513089917472865,146.4030004067609,146.4030004067609,0.0,4.8513089917472865,4.8513089917472865,-0.42889516575851694,4.493678397959474,-0.0712645719707048,4.493678397959474,-0.0712645719707048,4.493678397959474,-0.0712645719707048
996,2026-05-15T17:20:18.957Z,2026-05-15 17:20:18.957000+00:00,5614.185833333334,93.5697638888889,69.215,6,75,test,17,9,4.653983116149902,3.611147642,7.926257610321045,7.05866289138794,18.596068143708987,True,False,0.06204217559949159,5.101680522640408,165.60403329614692,165.60403329614692,0.0,5.101680522640408,5.101680522640408,-0.44769740649050593,4.691700510467549,-0.03771739431764676,4.691700510467549,-0.03771739431764676,4.691700510467549,-0.03771739431764676
997,2026-05-15T17:21:28.614Z,2026-05-15 17:21:28.614000+00:00,5615.3467833333325,93.58911305555554,69.657,6,76,test,18,0,4.553084373474121,6.151801109313965,8.968694686889648,2.1061103343963623,17.226606130599976,True,False,0.08777408435283585,4.923971204486037,0.0,0.0,0.0,4.923971204486037,4.923971204486037,-0.3708868310119158,4.551147890655834,0.0019364828182872884,4.551147890655834,0.0019364828182872884,4.551147890655834,0.0019364828182872884
998,2026-05-15T17:22:38.151Z,2026-05-15 17:22:38.151000+00:00,5616.505733333333,93.6084288888889,69.537,6,76,test,18,1,4.417451858520508,7.542778015136719,8.312520027160645,9.182067871,25.037365913297364,True,False,0.06332654200606863,4.802634530265724,19.964775175058843,19.964775175058843,0.0,4.802634530265724,4.802634530265724,-0.38518267174521625,4.455181130904434,-0.03772927238392576,4.455181130904434,-0.03772927238392576,4.455181130904434,-0.03772927238392576
999,2026-05-15T17:23:47.571Z,2026-05-15 17:23:47.571000+00:00,5617.662733333334,93.62771222222223,69.42,6,76,test,18,2,4.167688369750977,9.300023078918455,5.684046268463135,5.082224369049072,20.066293716430664,True,False,0.0746728297668261,4.546874670217623,48.9330075367439,48.9330075367439,0.0,4.546874670217623,4.546874670217623,-0.37918630046664603,4.252897318520372,-0.08520894876939522,4.252897318520372,-0.08520894876939522,4.252897318520372,-0.08520894876939522
1000,2026-05-15T17:24:56.888Z,2026-05-15 17:24:56.888000+00:00,5618.818016666667,93.64696694444446,69.317,6,76,test,18,3,4.5685224533081055,5.663660049438477,9.729355812072754,5.928710460662842,21.321726322174072,True,False,0.07219404108710875,4.99524842168524,72.11526222910764,72.11526222910764,0.0,4.99524842168524,4.99524842168524,-0.4267259683771343,4.6075219722981595,-0.03899951899005405,4.6075219722981595,-0.03899951899005405,4.6075219722981595,-0.03899951899005405
1001,2026-05-15T17:26:05.972Z,2026-05-15 17:26:05.972000+00:00,5619.969416666666,93.66615694444444,69.084,6,76,test,18,4,4.732275963,2.576612949371338,7.125978469848633,1.4802093505859375,11.182800769805908,True,False,0.08676351854016238,5.201956496425444,96.66509791645888,96.66509791645888,0.0,5.201956496425444,5.201956496425444,-0.4696805334254437,4.771010087286782,-0.03873412428678158,4.771010087286782,-0.03873412428678158,4.771010087286782,-0.03873412428678158
1002,2026-05-15T17:27:15.215Z,2026-05-15 17:27:15.215000+00:00,5621.123466666667,93.68539111111112,69.243,6,76,test,18,5,4.623106956481934,4.051094055175781,8.028575897216797,9.380104064941406,21.459774017333984,True,False,0.056289828320816936,5.057369494751545,109.57060914485338,109.57060914485338,0.0,5.057369494751545,5.057369494751545,-0.4342625382696115,4.656654340007767,-0.03354738352583375,4.656654340007767,-0.03354738352583375,4.656654340007767,-0.03354738352583375
1003,2026-05-15T17:28:24.244Z,2026-05-15 17:28:24.244000+00:00,5622.27395,93.70456583333333,69.029,6,76,test,18,6,4.499052047729492,7.970849037,9.819222450256348,4.977705001831055,22.767776489087403,True,False,0.078137061367337,4.850889330319044,134.25972148889585,134.25972148889585,0.0,4.850889330319044,4.850889330319044,-0.3518372825895515,4.493346482256989,0.005705565472503338,4.493346482256989,0.005705565472503338,4.493346482256989,0.005705565472503338
1004,2026-05-15T17:29:33.429Z,2026-05-15 17:29:33.429000+00:00,5623.4270333333325,93.72378388888887,69.185,6,76,test,18,7,4.317656517028809,7.093090534210205,6.381322383880615,9.228132247924805,22.702545166015625,True,False,0.059351992560998074,4.714641362684626,160.51286509552105,160.51286509552105,0.0,4.714641362684626,4.714641362684626,-0.39698484565581715,4.3855861858700305,-0.06792966884122187,4.3855861858700305,-0.06792966884122187,4.3855861858700305,-0.06792966884122187
1005,2026-05-15T17:30:42.790Z,2026-05-15 17:30:42.790000+00:00,5624.58305,93.74305083333334,69.361,6,76,test,18,8,4.15831470489502,7.593006610870361,4.587552070617676,5.943155765533447,18.123714447021484,True,False,0.06720784923583827,4.541957259579576,186.7573856831879,186.7573856831879,0.0,4.541957259579576,4.541957259579576,-0.3836425546845552,4.249008074247501,-0.09069336935248096,4.249008074247501,-0.09069336935248096,4.249008074247501,-0.09069336935248096
1006,2026-05-15T17:31:52.164Z,2026-05-15 17:31:52.164000+00:00,5625.739283333333,93.76232138888889,69.374,6,76,test,18,9,4.203525543212891,8.214078903198242,5.299895763397217,5.013434886932373,18.527409553527832,True,False,0.07294044333371064,4.570380037491713,207.71262845064902,207.71262845064902,0.0,4.570380037491713,4.570380037491713,-0.36685449427882233,4.271488020371695,-0.06796247715880455,4.271488020371695,-0.06796247715880455,4.271488020371695,-0.06796247715880455
1007,2026-05-15T17:33:01.713Z,2026-05-15 17:33:01.713000+00:00,5626.898433333334,93.78164055555557,69.549,6,77,test,19,0,4.349635124206543,7.944928169250488,7.325024604797363,2.716581106185913,17.986533880233765,True,False,0.08489658360930069,4.725105075305327,0.0,0.0,0.0,4.725105075305327,4.725105075305327,-0.37546995109878445,4.39386207279071,-0.04422694858416687,4.39386207279071,-0.04422694858416687,4.39386207279071,-0.04422694858416687
1008,2026-05-15T17:34:10.986Z,2026-05-15 17:34:10.986000+00:00,5628.052983333333,93.80088305555554,69.273,6,77,test,19,1,4.401461601257324,3.2154998779296875,4.289710521697998,7.602951526641846,15.108161926269531,True,False,0.04967652872834183,4.885644041902922,20.76635269142389,20.76635269142389,0.0,4.885644041902922,4.885644041902922,-0.4841824406455979,4.520834437388702,-0.11937283613137772,4.520834437388702,-0.11937283613137772,4.520834437388702,-0.11937283613137772
1009,2026-05-15T17:35:20.337Z,2026-05-15 17:35:20.337000+00:00,5629.208833333334,93.82014722222223,69.351,6,77,test,19,2,4.3716888427734375,1.5104063749313354,2.378084182739258,4.329346179962158,8.217836737632751,True,False,0.04731769055308248,4.957559458041246,38.229121653902524,38.229121653902524,0.0,4.957559458041246,4.957559458041246,-0.5858706152678081,4.577713278903983,-0.20602443613054522,4.577713278903983,-0.20602443613054522,4.577713278903983,-0.20602443613054522
1010,2026-05-15T17:36:29.697Z,2026-05-15 17:36:29.697000+00:00,5630.364833333334,93.8394138888889,69.36,6,77,test,19,3,4.968806266784668,1.3759686946868896,9.040133476257324,2.994435787200928,13.410537958145142,True,False,0.07767102411143618,5.57769508081111,47.728940922605986,47.728940922605986,0.0,5.57769508081111,5.57769508081111,-0.6088888140264421,5.068186639131268,-0.0993803723465998,5.068186639131268,-0.0993803723465998,5.068186639131268,-0.0993803723465998
1011,2026-05-15T17:37:38.844Z,2026-05-15 17:37:38.844000+00:00,5631.517283333334,93.85862138888889,69.147,6,77,test,19,4,4.218963623046875,6.395733356,4.622671127319336,8.323575973510742,19.34198045683008,True,False,0.056966268309037074,4.619753922802332,63.183915392470354,63.183915392470354,0.0,4.619753922802332,4.619753922802332,-0.40079029975545666,4.310538470864462,-0.09157484781758729,4.310538470864462,-0.09157484781758729,4.310538470864462,-0.09157484781758729
1012,2026-05-15T17:38:48.292Z,2026-05-15 17:38:48.292000+00:00,5632.67475,93.87791250000001,69.448,6,77,test,19,5,4.511181831359863,5.8823747634887695,8.113945007324219,3.822664022445679,17.818983793258667,True,False,0.07854723890656504,4.899965073936447,85.57161303856927,85.57161303856927,0.0,4.899965073936447,4.899965073936447,-0.3887832425765838,4.532161128592204,-0.0209792972323406,4.532161128592204,-0.0209792972323406,4.532161128592204,-0.0209792972323406
1013,2026-05-15T17:39:57.614Z,2026-05-15 17:39:57.614000+00:00,5633.830116666666,93.8971686111111,69.322,6,77,test,19,6,3.7392845153808594,8.571643829345703,1.8388917446136477,2.450252056121826,12.860787630081177,True,False,0.08094788494609205,4.094453422596621,106.15907294717388,106.15907294717388,0.0,4.094453422596621,4.094453422596621,-0.355168907215762,3.8950714471928,-0.15578693181194048,3.8950714471928,-0.15578693181194048,3.8950714471928,-0.15578693181194048
1014,2026-05-15T17:41:07.047Z,2026-05-15 17:41:07.047000+00:00,5634.9873333333335,93.91645555555556,69.433,6,77,test,19,7,4.322067260742188,9.739361763000488,8.911893844604492,3.399691343307495,22.050946950912476,True,False,0.08458256078128738,4.7218299594886375,121.04179073916433,121.04179073916433,0.0,4.7218299594886375,4.7218299594886375,-0.3997626987464491,4.391271740933026,-0.06920448019083736,4.391271740933026,-0.06920448019083736,4.391271740933026,-0.06920448019083736
1015,2026-05-15T17:42:16.206Z,2026-05-15 17:42:16.206000+00:00,5636.139983333333,93.93566638888888,69.159,6,77,test,19,8,4.671626091003418,3.1561315059661865,7.713471889,9.396247863769531,20.26585125873572,True,False,0.05363506943869816,5.148374036784406,146.4588147421336,146.4588147421336,0.0,5.148374036784406,5.148374036784406,-0.4767479457809882,4.728631020411059,-0.05700492940764068,4.728631020411059,-0.05700492940764068,4.728631020411059,-0.05700492940764068
1016,2026-05-15T17:43:25.826Z,2026-05-15 17:43:25.826000+00:00,5637.300316666666,93.95500527777776,69.62,6,77,test,19,9,4.921941757202148,1.6068572998046875,8.874078750610352,6.679888725280762,17.1608247756958,True,False,0.061074780422318495,5.502318133567012,169.97395748601994,169.97395748601994,0.0,5.502318133567012,5.502318133567012,-0.5803763763648639,5.008570027472422,-0.08662827027027387,5.008570027472422,-0.08662827027027387,5.008570027472422,-0.08662827027027387
1017,2026-05-15T17:44:35.194Z,2026-05-15 17:44:35.194000+00:00,5638.45645,93.97427416666666,69.368,6,78,test,20,0,4.673280715942383,4.203428268432617,9.333587646484377,2.1456613540649414,15.682677268981935,True,False,0.08631827131768663,5.106628807873378,0.0,0.0,0.0,5.106628807873378,5.106628807873378,-0.4333480919309949,4.695614173860626,-0.022333457918243482,4.695614173860626,-0.022333457918243482,4.695614173860626,-0.022333457918243482
1018,2026-05-15T17:45:44.778Z,2026-05-15 17:45:44.778000+00:00,5639.6161833333335,93.99360305555555,69.584,6,78,test,20,1,4.550879478,5.707809448242188,8.223890305,3.1069090366363525,17.03860878987854,True,False,0.08176547701193801,4.918872566351357,18.18772358474732,18.18772358474732,0.0,4.918872566351357,4.918872566351357,-0.3679930883513576,4.547115311189862,0.0037641668101375814,4.547115311189862,0.0037641668101375814,4.547115311189862,0.0037641668101375814
1019,2026-05-15T17:46:54.112Z,2026-05-15 17:46:54.112000+00:00,5640.77175,94.0128625,69.334,6,78,test,20,2,4.2630720138549805,9.536493301391602,6.829023361206055,6.088335514068604,22.45385217666626,True,False,0.07288511803602449,4.615563686574148,37.876971948704636,37.876971948704636,0.0,4.615563686574148,4.615563686574148,-0.35249167271916715,4.307224358325977,-0.04415234447099614,4.307224358325977,-0.04415234447099614,4.307224358325977,-0.04415234447099614
1020,2026-05-15T17:48:03.450Z,2026-05-15 17:48:03.450000+00:00,5641.927383333333,94.03212305555554,69.338,6,78,test,20,3,4.367278099060059,9.602405548095703,9.410790443,7.923772811889648,26.93696880298535,True,False,0.07058402201879715,4.7516820562082005,63.825391985799385,63.825391985799385,0.0,4.7516820562082005,4.7516820562082005,-0.3844039571481419,4.41488215396248,-0.047604054902421034,4.41488215396248,-0.047604054902421034,4.41488215396248,-0.047604054902421034
1021,2026-05-15T17:49:12.897Z,2026-05-15 17:49:12.897000+00:00,5643.084833333333,94.05141388888889,69.447,6,78,test,20,4,4.500706672668457,6.295016765594482,8.498433113098145,4.549392223358154,19.34284210205078,True,False,0.0764802287101552,4.89064076831933,95.00358652681479,95.00358652681479,0.0,4.89064076831933,4.89064076831933,-0.3899340956508732,4.524786413546185,-0.024079740877727573,4.524786413546185,-0.024079740877727573,4.524786413546185,-0.024079740877727573
