cycle,target_ph,is_test,steps,mean_ph,mean_abs_error,rmse,max_abs_error,reward_sum,squared_error_cost_sum,absolute_error_cost_sum,move_cost_sum,total_cost_sum,train_updates
10,4.720615863800049,False,400,4.723044917455806,0.0500825762819021,0.0623327520385713,0.1690201699199809,-21.951626175856887,1.5541487906808058,20.03303051276087,36.44468724152108,21.951626175856887,400
11,4.769345283508301,False,400,4.76119817213571,0.0491676665401651,0.0611180952581359,0.2003804598745517,-21.48696833656869,1.4941686271930312,19.66706661606605,32.57330933096114,21.48696833656869,400
12,4.816023349761963,False,400,4.819257265898104,0.043951680515871,0.0555866708893854,0.1737829789695579,-19.112633041122194,1.235951192225939,17.58067220634843,29.60096425478242,19.112633041122194,400
13,4.755848407745361,False,400,4.756170282121266,0.0416348460823773,0.0534668364407462,0.1548550638997339,-18.05362061700854,1.143481039592606,16.653938432950927,25.620114446500796,18.05362061700854,400
14,5.016491889953613,False,400,4.9690289038432,0.0560517202358515,0.0682720471803878,0.2030740935377766,-24.49734312248182,1.8644289704804395,22.420688094340605,21.222605766077606,24.49734312248182,400
15,4.596862316131592,False,400,4.631298935189432,0.0455556339486946,0.0560530262258093,0.1690789859179684,-19.69287314799833,1.2567766996285072,18.222253579477872,21.384286889195664,19.69287314799833,400
16,4.743040084838867,False,400,4.733491811167746,0.0349835462376987,0.0439507238554644,0.1447185950228942,-14.904582872779237,0.7726664509677182,13.993418495079515,13.849792673199914,14.904582872779237,400
17,4.840172290802002,False,400,4.845095090634976,0.0301499449090932,0.0385238579736373,0.1243889406070035,-12.784791316048867,0.5936350532691917,12.059977963637287,13.1178299142387,12.784791316048867,400
18,4.999143123626709,False,400,4.973743656469393,0.0348654416054946,0.0433786650437458,0.1693407446267754,-14.814405377288477,0.7526834323910006,13.946176642197862,11.554530269961134,14.814405377288477,400
19,4.957590103149414,False,400,4.954491458936301,0.025131534437245,0.031566592659067,0.1034398925145669,-10.530538673666554,0.3985799088413853,10.052613774898004,7.934498992716612,10.530538673666554,400
